nvidia-utils 610.43.03-2
nvme-cli 2.16-2
oath-toolkit 2.6.14-4
ocl-icd 2.3.4-1
onetbb 2023.0.0-1
oniguruma 6.9.10-1
open-iscsi 2.1.11-1
open-isns 0.103-1
open-vm-tools 6:13.1.0-2
openbsd-netcat 1.238_1-1
openconnect 1:9.12-5
opencore-amr 0.1.6-2
openh264 2.6.0-2
openjpeg2 2.5.4-1
openpgp-card-tools 0.11.12-1
openssh 10.4p1-2
openssl 3.6.3-1
openvpn 2.7.5-1
opus 1.6.1-1
orc 0.4.42-1
osinfo-db 20251212-1
p11-kit 0.26.2-1
pacman 7.1.0.r9.g54d9411-2
pacman-mirrorlist 20260610-1
pahole 1:1.31-2
pam 1.7.2-2
pambase 20260616-1
pamixer 1.6-4
pango 1:1.58.0-1
pangomm 2.46.5-1
pangomm-2.48 2.56.2-1
partclone 0.3.47-2
parted 3.7-1
partimage 0.6.9-16
patch 2.8-1
pavucontrol 1:6.2-1
pbzip2 1.1.13-5
pcaudiolib 1.3-1
pciutils 3.15.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.5.1-1
perl 5.42.2-1
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.35-1
pigz 2.8-2
pinentry 1.3.3-1
pipewire 1:1.6.7-1
pipewire-audio 1:1.6.7-1
pipewire-pulse 1:1.6.7-1
pixman 0.46.4-1
pixz 1.0.7-5
pkcs11-helper 1.31.0-1
pkgconf 2.5.1-1
playerctl 2.4.1-5
plymouth 26.134.222-2
polkit 127-3
polkit-gnome 0.105-12
poppler 26.07.0-1
poppler-data 0.4.12-2
poppler-glib 26.07.0-1
popt 1.19-2
portaudio 1:19.7.0-4
power-profiles-daemon 0.30-1
ppp 2.5.2-1
pps-tools 1.0.3-2
pptpclient 1.10.0-3
procps-ng 4.0.6-3
psmisc 23.7-2
pugixml 1.16-1
pv 1.11.0-1
python 3.14.6-1
python-annotated-types 0.7.0-3
python-attrs 26.1.0-1
python-cairo 1.29.0-2
python-certifi 2026.06.17-1
python-cffi 2.1.0-1
python-charset-normalizer 3.4.7-1
python-configobj 5.0.9-6
python-cryptography 49.0.0-1
python-dbus 1.4.0-2
python-gobject 3.56.3-1
python-idna 3.18-1
python-jinja 1:3.1.6-3
python-jsonpatch 1.33-6
python-jsonpointer 3.1.1-1
python-jsonschema 4.26.0-1
python-jsonschema-specifications 2025.9.1-2
python-linkify-it-py 2.1.0-1
python-markdown-it-py 4.0.0-2
python-markupsafe 3.0.3-1
python-mdurl 0.1.2-9
python-netifaces 0.11.0-9
python-oauthlib 3.3.1-2
python-platformdirs 4.10.0-1
python-pycparser 3.00-1
python-pycups 2.0.4-4
python-pydantic 2.13.4-1
python-pydantic-core 3:2.46.4-1
python-pygments 2.20.0-1
python-pyparted 3.13.0-6
python-pyserial 3.5-8
python-pyxdg 0.28-7
python-referencing 0.37.0-3
python-requests 2.34.2-1
python-rich 15.0.0-1
python-rpds-py 2026.6.3-1
python-textual 8.2.8-1
python-typing-inspection 0.4.2-2
python-typing_extensions 4.16.0-1
python-uc-micro-py 2.0.0-1
python-urllib3 2.7.0-1
python-yaml 6.0.3-2
qemu-guest-agent 11.0.2-3
qpdf 12.3.2-2
qt5-base 5.15.19+kde+r96-1
qt5-declarative 5.15.19+kde+r23-1
qt5-translations 5.15.19-1
qt5-wayland 5.15.19+kde+r55-1
qt6-base 6.11.1-1
qt6-declarative 6.11.1-3
qt6-svg 6.11.1-1
qt6-translations 6.11.1-1
qt6-wayland 6.11.1-1
qt6ct 0.11-7
rav1e 0.8.1-3
re2 2:2025.11.05-5
readline 8.3.003-1
refind 0.14.2-3
reflector 2023-5
ripgrep 15.1.0-4
rpcbind 1.2.9-1
rsync 3.4.4-1
rubberband 4.0.0-2
rxvt-unicode-terminfo 9.31-9
satty 0.21.1-1
sbc 2.2-1
screen 5.0.1-3
sdbus-cpp 2.3.1-1
sdl2-compat 2.32.70-1
sdl3 3.4.12-1
sdparm 1.12-1
seatd 0.9.3-1
sed 4.10-1
sequoia-sq 1.3.1-3
serd 0.32.10-1
sg3_utils 1.48-1
shaderc 2026.2-2
shadow 4.19.4.arch1-1
shared-mime-info 2.5.1-1
slang 2.3.3-4
slurp 1.5.0-2
smartmontools 7.5-1
snappy 1.2.2-3
sndio 1.10.0-1
socat 1.8.1.1-1
sof-firmware 2025.12.2-1
sord 0.16.22-1
